patient_id,n_spots_in_tissue,n_spots_missin_tumor_fraction,mean_tumor_fraction,median_tumor_fraction,tile_id,n_initial_tiles,fullres_pixel_size,tile_size_pixels,k_value,mean_tile_purity,median_tile_purity,tile_purity_std,tiles_before_filter,n_tumor_tiles,has_tumor_tiles,tumor_threshold,min_spots,tiles_path,genes_per_signature,n_missing_signatures,n_total_tiles_aggregated,n_tumor_tiles_aggregated,avg_spots_per_tile,has_tumor_fraction
CH_L_284a,4548.0,0.0,0.3953598029847906,0.32823818597574167,"['10-10', '10-11', '10-6', '10-7', '10-8', '10-9', '11-10', '11-11', '11-6', '11-7', '11-8', '11-9', '12-10', '12-11', '12-7', '12-8', '12-9', '6-10', '6-9', '7-10', '7-5', '7-6', '7-7', '7-8', '7-9', '8-10', '8-11', '8-5', '8-6', '8-7', '8-8', '8-9', '9-10', '9-11', '9-5', '9-6', '9-7', '9-8', '9-9']",39.0,0.41539333651762517,2407.0,2.0,0.38194630212837827,0.3722530970636418,0.14662420914252694,39.0,16.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_284a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,39.0,16.0,179.81,
CH_L_285a,4423.0,0.0,0.5107281689659905,0.5672811213018748,"['10-10', '10-11', '10-6', '10-7', '10-8', '10-9', '5-10', '5-11', '5-6', '5-7', '5-8', '5-9', '6-10', '6-11', '6-6', '6-7', '6-8', '6-9', '7-10', '7-11', '7-6', '7-7', '7-8', '7-9', '8-10', '8-11', '8-6', '8-7', '8-8', '8-9', '9-10', '9-11', '9-6', '9-7', '9-8', '9-9']",36.0,0.39429581730082974,2536.0,2.0,0.4512308652498255,0.4299878558192305,0.20972074610118163,36.0,24.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_285a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,24.0,151.21,
CH_L_287a,4843.0,0.0,0.4355939983851749,0.476454546602399,"['10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '11-11', '5-10', '5-11', '5-12', '5-13', '5-14', '5-15', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15']",37.0,0.420661419339249,2377.0,2.0,0.4366768100514991,0.5007938116715015,0.19445808989763425,37.0,22.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_287a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,37.0,22.0,151.41,
CH_L_288a,4620.0,0.0,0.5582821195728297,0.584602882315076,"['4-3', '4-4', '4-5', '4-6', '4-7', '5-3', '5-4', '5-5', '5-6', '5-7', '5-8', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '7-3', '7-4', '7-5', '7-6', '7-7', '7-8', '8-3', '8-4', '8-5', '8-6', '8-7', '8-8', '9-3', '9-4', '9-5', '9-6', '9-7', '9-8']",35.0,0.41041758332620915,2436.0,2.0,0.5064328850235723,0.39274755298014397,0.23308773948650816,35.0,27.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_288a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,35.0,27.0,153.0,
CH_L_289a,4825.0,0.0,0.5932695985216759,0.6484724911842368,"['10-10', '10-11', '10-12', '10-13', '10-14', '5-10', '5-11', '5-12', '5-13', '5-14', '5-15', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-10', '9-11', '9-12', '9-13', '9-14']",34.0,0.41219326296465586,2426.0,2.0,0.5800995170253986,0.6120021442954049,0.1345320535296206,34.0,33.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_289a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,34.0,33.0,144.61,
CH_L_290a,4712.0,0.0,0.3669710376058086,0.3497751877640012,"['10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '5-13', '5-14', '5-15', '5-16', '5-17', '5-18', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '7-13', '7-14', '7-15', '7-16', '7-17', '7-18', '8-13', '8-14', '8-15', '8-16', '8-17', '8-18', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18']",36.0,0.41717506360748424,2397.0,2.0,0.35869996650976543,0.33813779057170945,0.14546777068083236,36.0,21.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_290a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,21.0,142.95,
CH_L_291a,4626.0,0.0,0.7099179112522597,0.8790147584263492,"['10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '11-4', '11-5', '11-6', '11-7', '11-8', '11-9', '12-4', '12-5', '12-6', '12-7', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '7-4', '7-5', '7-6', '7-7', '7-8', '7-9', '8-4', '8-5', '8-6', '8-7', '8-8', '8-9', '9-4', '9-5', '9-6', '9-7', '9-8', '9-9']",40.0,0.4094509409183674,2442.0,2.0,0.6808788342485047,0.7222867857644912,0.1970973188530679,40.0,29.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_291a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,40.0,29.0,150.0,
CH_L_292a,3972.0,0.0,0.5107077936363478,0.53580848283921,"['2-11', '2-12', '2-13', '2-14', '2-15', '2-16', '3-11', '3-12', '3-13', '3-14', '3-15', '3-16', '4-11', '4-12', '4-13', '4-14', '4-15', '4-16', '5-11', '5-12', '5-13', '5-14', '5-15', '5-16', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16']",36.0,0.3908529606035261,2558.0,2.0,0.49494640864543016,0.4776939808376802,0.11775038568425332,36.0,28.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_292a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,28.0,126.5,
CH_L_293a,4718.0,0.0,0.8228886699058362,0.9218965533556873,"['10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '4-15', '4-16', '4-17', '4-18', '5-13', '5-14', '5-15', '5-16', '5-17', '5-18', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '7-13', '7-14', '7-15', '7-16', '7-17', '7-18', '8-13', '8-14', '8-15', '8-16', '8-17', '8-18', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18']",40.0,0.40977831246463586,2440.0,2.0,0.798200386451562,0.8591729043214622,0.13770233569132037,40.0,29.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_293a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,40.0,29.0,153.21,
CH_L_294a,4904.0,0.0,0.46294598446467033,0.5223435088290507,"['10-10', '10-11', '10-12', '10-13', '10-14', '10-9', '11-10', '11-11', '11-12', '11-13', '11-14', '11-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-9', '7-10', '7-11', '7-12', '7-13', '7-14', '7-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-9']",36.0,0.3967557153416217,2520.0,2.0,0.4467482409325443,0.4901929333924885,0.12921342164824132,36.0,25.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_294a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,25.0,167.36,
